"","sample","copy","area_season","season","study.area","domestication","DESCRIPTION","state","grass_cover_percent","grass_cover","elevation","biome","latitude","longitude","collection_time","life_stage","sex_known","sex","BCS_known","horse_BCS","fecal_freshness","stud_pile","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"19","CN13",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1921.22,"sagerush steppe",39.27525,-113.671766,"5/30/2020 20:06","Adult","n","u","n","u",3,"n",19,130.841820536185,73.0167905616038,14.0289242722172,21.9314805045322,14.230286317203,5.13059805285118,13.4817706584816,8.02252649753009
"20","CN14",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1579.61,"sagerush steppe",39.320123,-113.645991,"5/31/2020 8:02","Adult","n","u","n","u",2,"n",20,166.078148964724,68.928460506135,18.6400306748466,25.9036857745399,13.8669047162577,4.44083109662577,13.444397047546,1.17731499233129
"21","CN15",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1582.77,"sagerush steppe",39.318992,-113.646282,"5/31/2020 8:09","Adult","n","u","n","u",2,"n",21,166.225833057606,68.8656798009006,18.6379094557852,25.8016054550947,13.8826838145383,4.44302504567491,13.4506207471984,1.25892039378725
"22","CN16",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1588.82,"sagerush steppe",39.318575,-113.645756,"5/31/2020 8:17","Adult","n","u","n","u",1,"n",22,166.404584364983,68.7702107445155,18.6476171282701,25.8246050939521,13.8929483119326,4.43411834705668,13.4525392986699,1.27217327882382
"23","CN17",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1589.9,"sagerush steppe",39.318178,-113.64589,"5/31/2020 8:21","Adult","n","u","n","u",1,"n",23,166.446879194631,68.7709012464046,18.6429386385427,25.78361936721,13.8991035474593,4.43528763183126,13.45269894535,1.30776605944391
"24","CN18",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1592.12,"sagerush steppe",39.317847,-113.646065,"5/31/2020 8:25","Adult","n","u","n","u",1,"n",24,166.373474388916,68.770979700081,18.6288898586727,25.7406377234166,13.8993828018972,4.43815790104689,13.4577432705265,1.33593896116975
"25","CN1",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1940.78,"sagerush steppe",39.169562,-113.669106,"5/31/2020 11:49","Adult","n","u","n","u",1,"n",25,123.418455946692,103.635342647525,14.1184626775257,21.8469216050154,14.2261704439466,5.87798440369619,16.485225819479,4.2989836440735
"26","CN2",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",2004.83,"sagerush steppe",39.186258,-113.722622,"5/29/2020 15:22","Adult","n","u","n","u",5,"y",26,93.7687405756874,101.718221458139,11.249589412115,22.6185182339439,14.1795349551955,5.94150923462576,14.8554538556844,7.52063024039801
"27","CN3",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1999.29,"sagerush steppe",39.18555,-113.72341,"5/29/2020 15:40","Adult","n","u","n","u",5,"n",27,94.215799596115,101.647365131263,11.3156553514761,22.7094335993846,14.1688768150784,5.92998846042889,14.8675689970189,7.38797480526974
"28","CN4",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1872.09,"sagerush steppe",39.166267,-113.745044,"5/29/2020 16:04","Adult","n","u","n","u",5,"n",28,108.718595086931,94.0148524591737,13.3660951229227,25.6233521928372,13.9946636721806,5.45045421171593,15.1383078274139,3.41420365384892
"29","CN8",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1732.2,"sagerush steppe",39.303267,-113.676431,"5/30/2020 18:23","Adult","n","u","n","u",5,"n",29,147.10788737933,70.0826671398359,16.2591176992466,23.3241608839313,13.67910494286,4.8335435419594,13.5535744258427,3.86524268306134
"30","CN9",1,"CN","summer","CN","wild","Conger HMA, UT, feces ","UT","10.1","medium",1901.16,"sagerush steppe",39.275834,-113.672399,"5/30/2020 19:53","Adult","n","u","n","u",3,"n",30,131.024856082466,72.936210563715,14.0533419115705,21.939004892476,14.2216113962521,5.125908036816,13.4760729598279,7.96678013625954
"31","DG1",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2197.98,"pasture",41.320185,-105.636467,"8/13/2020 9:05","Adult","y","mare","y","3",3,"n",31,51.5360782031886,663.40630745956,5.27101128825788,17.3071756080531,11.3310834400093,41.5499034097521,9.22363784475736,1.09287094146398
"32","DG2",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2205.75,"pasture",41.32077,-105.636979,"8/13/2020 10:12","Adult","y","mare","y","5",1,"n",32,51.4799988827492,663.176595457444,5.27494611592408,17.3350774859995,11.3462918910867,41.5243304641712,9.24345360848738,1.09160991187684
"33","DG3",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2203.32,"pasture",41.32063,-105.637009,"8/13/2020 10:19","Adult","y","mare","y","5",1,"n",33,51.5161386493751,663.307204978781,5.27631585076699,17.3278272333012,11.3444340409277,41.5348277131052,9.23961317551043,1.09175435899586
"34","DG4",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2205.83,"pasture",41.320667,-105.637001,"8/13/2020 10:27","Adult","y","mare","y","5",1,"n",34,51.5075965339504,663.218988773985,5.27662744623293,17.3285017856395,11.3458692828108,41.5302767159134,9.2406911612011,1.09165196094408
"35","DG5",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2205.41,"pasture",41.320781,-105.636906,"8/13/2020 10:36","Adult","y","mare","y","5",1,"n",35,51.4944345389117,663.242082427481,5.27529363568226,17.3344164761856,11.3446116746661,41.5225900459482,9.2415377524941,1.09237129143836
"36","DG6",1,"DG","summer","DG","domestic","Domestic grain, Laramie WY, feces","WY",".",".",2205.14,"pasture",41.320751,-105.636622,"8/13/2020 10:43","Adult","y","mare","y","5",2,"n",36,51.4952382725589,663.35778586656,5.27268453439336,17.331035477895,11.3391113303978,41.51682197749,9.23882180992189,1.0942663774565
"37","DP1",1,"DP","summer","DP","domestic","Domestic pasture, Laramie, WY, feces","WY",".",".",2244.92,"pasture",41.246952,-105.550465,"8/13/2020 13:32","Adult","y","mare","n","u",3,"n",37,51.803300705562,487.56396924067,6.33574116648557,19.4196717947761,12.8865551508821,36.8604404982303,11.2416398136533,1.9612383941354
"38","DP2",1,"DP","summer","DP","domestic","Domestic pasture, Laramie, WY, feces","WY",".",".",2246.31,"pasture",41.246811,-105.550195,"8/13/2020 13:35","Adult","y","mare","n","u",1,"n",38,51.821042515174,487.119348532986,6.34096115177726,19.4097701390736,12.8926413712345,36.8348752256855,11.2584080952847,1.98543949763701
"39","DP3",1,"DP","summer","DP","domestic","Domestic pasture, Laramie, WY, feces","WY",".",".",2245.05,"pasture",41.24636,-105.549145,"8/13/2020 13:42","Adult","y","mare","n","u",1,"n",39,51.8659779402514,486.169870316264,6.3604257242578,19.3448851113006,12.9247806373748,36.7824500580152,11.3165298999529,2.1031598469704
"40","DP4",1,"DP","summer","DP","domestic","Domestic pasture, Laramie, WY, feces","WY",".",".",2241.68,"pasture",41.24598,-105.547854,"8/13/2020 13:48","Adult","y","mare","n","u",4,"n",40,51.9004819153452,484.480165894576,6.38416537207317,19.2877636422163,12.9645398011691,36.6900813144673,11.3729175705495,2.23771535737778
