sample,copy,area_season,season,enviro,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile
DG1,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2197.98,pasture,41.320185,-105.636467,8/13/2020 9:05,Adult,y,mare,y,3,3,n
DG2,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.75,pasture,41.32077,-105.636979,8/13/2020 10:12,Adult,y,mare,y,5,1,n
DG3,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2203.32,pasture,41.32063,-105.637009,8/13/2020 10:19,Adult,y,mare,y,5,1,n
DG4,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.83,pasture,41.320667,-105.637001,8/13/2020 10:27,Adult,y,mare,y,5,1,n
DG5,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.41,pasture,41.320781,-105.636906,8/13/2020 10:36,Adult,y,mare,y,5,1,n
DG6,1,DG,summer,pasture,DG,domestic,"Domestic grain, Laramie WY, feces",WY,.,.,2205.14,pasture,41.320751,-105.636622,8/13/2020 10:43,Adult,y,mare,y,5,2,n
DP1,1,DP,summer,pasture,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2244.92,pasture,41.246952,-105.550465,8/13/2020 13:32,Adult,y,mare,n,u,3,n
DP2,1,DP,summer,pasture,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2246.31,pasture,41.246811,-105.550195,8/13/2020 13:35,Adult,y,mare,n,u,1,n
DP3,1,DP,summer,pasture,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2245.05,pasture,41.24636,-105.549145,8/13/2020 13:42,Adult,y,mare,n,u,1,n
DP4,1,DP,summer,pasture,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2241.68,pasture,41.24598,-105.547854,8/13/2020 13:48,Adult,y,mare,n,u,4,n
DP5,1,DP,summer,pasture,DP,domestic,"Domestic pasture, Laramie, WY, feces",WY,.,.,2242.34,pasture,41.247307,-105.55006,8/13/2020 13:56,Adult,y,mare,n,u,3,n
FR10,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1803.01,sagerush steppe,38.529947,-113.180084,5/28/2020 8:16,Adult,n,u,n,u,3,n
FR11,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1809.87,sagerush steppe,38.565715,-113.188137,5/28/2020 15:11,Adult,n,u,n,u,5,y
FR12,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1676.28,sagerush steppe,38.559696,-113.128382,5/28/2020 16:40,Adult,y,stallion,y,5,2,y
FR13,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1844.15,sagerush steppe,38.538929,-113.193264,5/28/2020 17:29,Adult,n,u,n,u,5,y
FR14,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1846.3,sagerush steppe,38.538943,-113.194024,5/28/2020 17:34,Adult,n,u,n,u,4,n
FR15,1,FR,summer,salt_desert ,FR,wild,"Frisco HMA, UT, feces",UT,9.3,low ,1810.45,sagerush steppe,38.544661,-113.186739,5/29/2020 8:11,Adult,n,u,n,u,3,n
