"","OBJECTID","HMA_NAME","HMA_ID","ADMIN_ST","ADM_UNIT_C","ADMIN_AGCY","HERD_TYPE","GIS_ACRES","ROD_DT","BLM_ACRES","LUP_ID","GlobalID","created_da","last_edite","Original_G","SHAPE_Leng","SHAPE_Area","ID","annforbandgrassbio","perforbandgrassbio","annforbandgrasscov","bareground","litter","perforbandgrasscov","shrub","tree"
"12",12,"Big Sandy","AZ0004","AZ","AZC01000","BLM","BURRO",183506.595675,1995-03-07,129196,"LUPA000205","{88029765-C8BC-4BF7-938F-9FA8E4ECDC1C}",2015-12-30,2015-12-30,"{087F7D05-CF61-4C88-9E6C-37DA7369ACF8}",2.14850136277,0.0728666887279,12,395.18919586922,20.8004363191329,13.7576953818739,11.5293224795046,9.58800929644786,4.22003619714688,18.6363013930719,3.94434290019673
"13",13,"Black Mountain","AZ0003","AZ","AZC01000","BLM","BURRO",773732.066189,1995-03-07,543307,"LUPA000205","{B63D3BA9-A696-44DA-951F-4AF713AFE792}",2015-12-30,2015-12-30,"{035BA22E-8924-4142-ADE9-4C4AB343985B}",3.5689806192,0.309579742346,13,801.073338273596,14.8435388703219,33.14622544911,12.7813966493945,11.8752466319535,4.33525501585646,11.4660779168136,1.04739907823983
"14",14,"Chocolate-Mule Mountains","CA0671","CA","CAD07000","BLM","BURRO",203452.591519,1976-01-01,192220,"LUPA000407","{BACFE6C5-0F35-48DB-87BC-6A78932434C5}",2015-12-30,2015-12-30,"{8AAC24A7-AF52-490B-A1F7-A46F5538B04E}",1.67104714082,0.0794572455813,14,74.8514265917469,0.652902133603176,4.4437539934788,21.6153042448109,4.04522971815523,0.844097329819529,8.7708421886869,0.694933412311661
"15",15,"Lee Flat","CA0652","CA","CAD05000","BLM","BURRO",73298.3746549,1976-01-01,71964,"LUPA000407","{FC2C0195-A6BE-44D5-88F8-3D65BB3D57D7}",2015-12-30,2015-12-30,"{133E688A-BFE4-4B76-B3D9-CB7ECDED4E1B}",0.827012093079,0.0298097885458,15,247.547495492862,34.8469887443356,12.89326121912,19.1244116357258,9.43488281440335,5.70848803781124,15.540167129562,1.01826974613848
"16",16,"Centennial","CA0654","CA","CAD05000","BLM","HORSE",318721.212697,1976-01-01,71350,"LUPA000407","{C3D4EFF5-27AB-4EF1-B38D-7C5FE9E9D5B5}",2015-12-30,2015-12-30,"{51D6F4BF-4BF6-4D8E-AE11-B41FB51E537C}",1.56665485459,0.129116149703,16,560.854762618595,39.6870940542572,24.2725891034558,17.7422180197582,11.3358113121156,4.83632346398034,15.9253000771181,2.05231148958287
"17",17,"Chicago Valley","CA0681","CA","CAD08000","BLM","HORSE",278275.679357,1976-01-01,258867,"LUPA000407","{F6384DB5-2BE9-4BC1-BB4A-F7F78D0BC6D1}",2015-12-30,2015-12-30,"{C9DC754B-4893-47E5-852B-BE121409D394}",1.9776742926,0.11276237615,17,113.752972364418,3.88964380576001,8.27976615253028,19.5562443483212,6.28461854549295,1.88640093363802,12.8668599723309,0.210141333834846
"18",18,"Chemehuevi","CA0698","CA","CAD09000","BLM","BURRO",113406.45557,1976-01-01,128861,"LUPA000407","{51D733B2-07A1-4935-9111-FA6C58402219}",2015-12-30,2015-12-30,"{FFC48795-FBE7-4AF3-B368-4843B662B460}",1.18433351395,0.0449530045346,18,227.787435889978,10.2451644803816,10.5125634636702,16.4334467680793,7.88137989651907,2.88975500033933,13.1937698147232,1.29613255383303
"19",19,"Piper Mountain","CA0656","CA","CAD05000","BLM","BOTH",96321.8744403,1976-01-01,87909,"LUPA000407","{58E6B99E-BC89-43DB-8AB4-4D6D9150F88E}",2015-12-30,2015-12-30,"{CEF52F77-835A-46CF-AD96-98B34D0FBD98}",0.965889777755,0.0396179509088,19,118.874781387607,91.3155883010746,7.51789596799918,32.378424010882,11.1659950942829,5.97637336246943,17.0549289990944,1.3698646711373
"20",20,"Round Mountain","CA0252","CA","CAN02000","BLM","HORSE",7756.05873093,2008-04-17,7635,"LUPA000402","{AE0BB6EA-8AC7-45DF-8622-B5DAC4D883EA}",2015-12-30,2015-12-30,"{0CCEB852-FBA3-47D1-B6E9-36154C853D18}",0.35169540138,0.00339111560265,20,285.955194791287,383.204793214966,26.3795592298302,7.93801803345398,12.8434387783513,21.3533871624082,13.7474031397914,4.83673513096742
"21",21,"Waucoba-Hunter Mountain","CA0651","CA","CAD05000","BLM","BURRO",22647.4287665,1976-01-01,22098,"LUPA000407","{C723F6D0-753A-4209-AF9B-50AB1BA6AF7A}",2015-12-30,2015-12-30,"{C60CD8D7-43E4-4A14-B6C6-D6D6BA8AFCD8}",0.779302519605,0.00925754399511,21,87.9495167414567,7.5628628361628,4.8999435152352,28.4772413468478,5.70139956695014,2.16096588947814,12.5577321366931,0.536534659679292
