sample_name,sample,copy,area_season,season,study.area,domestication,DESCRIPTION,state,grass_cover_percent,grass_cover,elevation,biome,latitude,longitude,collection_time,life_stage,sex_known,sex,BCS_known,horse_BCS,fecal_freshness,stud_pile,Other_notes
AT9_2,AT9,2,AT,summer,AT,wild,"Adobe Town HMA, WY, feces",WY,8.6,low ,2050.8,sagerush steppe,41.329276,-108.09236,6/22/2020 12:07,Adult,y,stallion,n,u,2,n,
CN10_1,CN10,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1918.77,sagerush steppe,39.174861,-113.72285,5/29/2020 14:31,Adult,n,u,n,u,5,n,
CN10_2,CN10,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1918.77,sagerush steppe,39.174861,-113.72285,5/29/2020 14:31,Adult,n,u,n,u,5,n,
CN11_1,CN11,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1905.45,sagerush steppe,39.275649,-113.67225,5/30/2020 19:57,Adult,n,u,n,u,3,n,
CN11_2,CN11,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1905.45,sagerush steppe,39.275649,-113.67225,5/30/2020 19:57,Adult,n,u,n,u,3,n,
CN12_1,CN12,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1909.85,sagerush steppe,39.275676,-113.672147,5/30/2020 19:59,Adult,n,u,n,u,3,n,
CN12_2,CN12,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1909.85,sagerush steppe,39.275676,-113.672147,5/30/2020 19:59,Adult,n,u,n,u,3,n,
CN13_1,CN13,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1921.22,sagerush steppe,39.27525,-113.671766,5/30/2020 20:06,Adult,n,u,n,u,3,n,
CN13_2,CN13,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1921.22,sagerush steppe,39.27525,-113.671766,5/30/2020 20:06,Adult,n,u,n,u,3,n,
CN14_1,CN14,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1579.61,sagerush steppe,39.320123,-113.645991,5/31/2020 8:02,Adult,n,u,n,u,2,n,
CN14_2,CN14,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1579.61,sagerush steppe,39.320123,-113.645991,5/31/2020 8:02,Adult,n,u,n,u,2,n,
CN15_1,CN15,1,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1582.77,sagerush steppe,39.318992,-113.646282,5/31/2020 8:09,Adult,n,u,n,u,2,n,
CN15_2,CN15,2,CN,summer,CN,wild,"Conger HMA, UT, feces ",UT,10.1,medium,1582.77,sagerush steppe,39.318992,-113.646282,5/31/2020 8:09,Adult,n,u,n,u,2,n,
